window_id,sat_idx,start_time_sec,end_time_sec,first_tx_sec,last_rx_sec,total_tx_bytes,total_rx_bytes,avg_eff_throughput_mbps
1,38,78.862,140.862,-1.000,-1.000,0,0,0.000000
2,142,140.862,219.800,161.727,219.800,149618,149618,0.020611
