timeSec,event,taskId,type,src,dstMaster,bytesArrived,masterBufferBytes,masterArrivedBytes,totalMasterArrivedBytes
357.351,SLAVE_TO_MASTER_RX,64,SLAVE_TO_MASTER,UAV_1,UAV_0,1024,2048,2048,88560
357.352,SLAVE_TO_MASTER_RX,64,SLAVE_TO_MASTER,UAV_1,UAV_0,916,2964,2964,89476
358.03,SENSOR_TO_MASTER_RX,66,SENSOR_TO_UAV,Sensor_3,UAV_0,1024,3988,3988,90500
358.032,SENSOR_TO_MASTER_RX,66,SENSOR_TO_UAV,Sensor_3,UAV_0,1024,5012,5012,91524
358.034,SENSOR_TO_MASTER_RX,66,SENSOR_TO_UAV,Sensor_3,UAV_0,1024,6036,6036,92548
358.035,SENSOR_TO_MASTER_RX,66,SENSOR_TO_UAV,Sensor_3,UAV_0,29,6065,6065,92577
360.429,SENSOR_TO_MASTER_RX,67,SENSOR_TO_UAV,Sensor_35,UAV_0,1024,7089,7089,93601
360.432,SENSOR_TO_MASTER_RX,67,SENSOR_TO_UAV,Sensor_35,UAV_0,1024,8113,8113,94625
360.437,SENSOR_TO_MASTER_RX,67,SENSOR_TO_UAV,Sensor_35,UAV_0,1024,9137,9137,95649
360.441,SENSOR_TO_MASTER_RX,67,SENSOR_TO_UAV,Sensor_35,UAV_0,513,9650,9650,96162
360.704,SLAVE_TO_MASTER_RX,68,SLAVE_TO_MASTER,UAV_1,UAV_0,1024,10674,10674,97186
360.709,SLAVE_TO_MASTER_RX,68,SLAVE_TO_MASTER,UAV_1,UAV_0,1024,11698,11698,98210
360.714,SLAVE_TO_MASTER_RX,68,SLAVE_TO_MASTER,UAV_1,UAV_0,1024,12722,12722,99234
360.719,SLAVE_TO_MASTER_RX,68,SLAVE_TO_MASTER,UAV_1,UAV_0,594,13316,13316,99828
364.253,SLAVE_TO_MASTER_RX,70,SLAVE_TO_MASTER,UAV_1,UAV_0,1024,14340,14340,100852
364.258,SLAVE_TO_MASTER_RX,70,SLAVE_TO_MASTER,UAV_1,UAV_0,1024,15364,15364,101876
364.263,SLAVE_TO_MASTER_RX,70,SLAVE_TO_MASTER,UAV_1,UAV_0,1024,16388,16388,102900
364.268,SLAVE_TO_MASTER_RX,70,SLAVE_TO_MASTER,UAV_1,UAV_0,637,17025,17025,103537
409.539,SENSOR_TO_MASTER_RX,71,SENSOR_TO_UAV,Sensor_22,UAV_2,930,61942,61942,104467
411.84,SLAVE_TO_MASTER_RX,73,SLAVE_TO_MASTER,UAV_1,UAV_2,393,62335,62335,104860
412.406,SLAVE_TO_MASTER_RX,75,SLAVE_TO_MASTER,UAV_1,UAV_2,691,63026,63026,105551
413.538,SLAVE_TO_MASTER_RX,77,SLAVE_TO_MASTER,UAV_1,UAV_2,1024,64050,64050,106575
413.542,SLAVE_TO_MASTER_RX,77,SLAVE_TO_MASTER,UAV_1,UAV_2,219,64269,64269,106794
417.269,SLAVE_TO_MASTER_RX,79,SLAVE_TO_MASTER,UAV_0,UAV_2,1019,65288,65288,107813
425.922,SLAVE_TO_MASTER_RX,81,SLAVE_TO_MASTER,UAV_3,UAV_2,457,65745,65745,108270
426.42,SLAVE_TO_MASTER_RX,83,SLAVE_TO_MASTER,UAV_3,UAV_2,490,66235,66235,108760
427.049,SLAVE_TO_MASTER_RX,85,SLAVE_TO_MASTER,UAV_3,UAV_2,593,66828,66828,109353
438.312,SENSOR_TO_MASTER_RX,86,SENSOR_TO_UAV,Sensor_10,UAV_2,1024,67852,67852,110377
438.314,SENSOR_TO_MASTER_RX,86,SENSOR_TO_UAV,Sensor_10,UAV_2,1024,68876,68876,111401
438.318,SENSOR_TO_MASTER_RX,86,SENSOR_TO_UAV,Sensor_10,UAV_2,1024,69900,69900,112425
438.323,SENSOR_TO_MASTER_RX,86,SENSOR_TO_UAV,Sensor_10,UAV_2,1024,70924,70924,113449
438.327,SENSOR_TO_MASTER_RX,86,SENSOR_TO_UAV,Sensor_10,UAV_2,433,71357,71357,113882
438.925,SLAVE_TO_MASTER_RX,88,SLAVE_TO_MASTER,UAV_1,UAV_2,349,71706,71706,114231
441.894,SENSOR_TO_MASTER_RX,90,SENSOR_TO_UAV,Sensor_58,UAV_2,1024,72730,72730,115255
441.896,SENSOR_TO_MASTER_RX,90,SENSOR_TO_UAV,Sensor_58,UAV_2,1024,73754,73754,116279
441.898,SENSOR_TO_MASTER_RX,90,SENSOR_TO_UAV,Sensor_58,UAV_2,1024,74778,74778,117303
441.902,SENSOR_TO_MASTER_RX,90,SENSOR_TO_UAV,Sensor_58,UAV_2,1024,75802,75802,118327
441.906,SENSOR_TO_MASTER_RX,90,SENSOR_TO_UAV,Sensor_58,UAV_2,690,76492,76492,119017
444.542,SLAVE_TO_MASTER_RX,91,SLAVE_TO_MASTER,UAV_3,UAV_2,1024,77516,77516,120041
444.547,SLAVE_TO_MASTER_RX,91,SLAVE_TO_MASTER,UAV_3,UAV_2,1024,78540,78540,121065
444.552,SLAVE_TO_MASTER_RX,91,SLAVE_TO_MASTER,UAV_3,UAV_2,1024,79564,79564,122089
444.557,SLAVE_TO_MASTER_RX,91,SLAVE_TO_MASTER,UAV_3,UAV_2,654,80218,80218,122743
449.134,SLAVE_TO_MASTER_RX,93,SLAVE_TO_MASTER,UAV_3,UAV_2,1024,81242,81242,123767
449.139,SLAVE_TO_MASTER_RX,93,SLAVE_TO_MASTER,UAV_3,UAV_2,1024,82266,82266,124791
449.144,SLAVE_TO_MASTER_RX,93,SLAVE_TO_MASTER,UAV_3,UAV_2,1024,83290,83290,125815
449.149,SLAVE_TO_MASTER_RX,93,SLAVE_TO_MASTER,UAV_3,UAV_2,1024,84314,84314,126839
449.154,SLAVE_TO_MASTER_RX,93,SLAVE_TO_MASTER,UAV_3,UAV_2,1024,85338,85338,127863
449.158,SLAVE_TO_MASTER_RX,93,SLAVE_TO_MASTER,UAV_3,UAV_2,70,85408,85408,127933
452.561,SLAVE_TO_MASTER_RX,95,SLAVE_TO_MASTER,UAV_0,UAV_2,1024,86432,86432,128957
452.566,SLAVE_TO_MASTER_RX,95,SLAVE_TO_MASTER,UAV_0,UAV_2,1024,87456,87456,129981
452.571,SLAVE_TO_MASTER_RX,95,SLAVE_TO_MASTER,UAV_0,UAV_2,789,88245,88245,130770
456.812,SLAVE_TO_MASTER_RX,97,SLAVE_TO_MASTER,UAV_0,UAV_2,1024,89269,89269,131794
456.817,SLAVE_TO_MASTER_RX,97,SLAVE_TO_MASTER,UAV_0,UAV_2,1024,90293,90293,132818
456.822,SLAVE_TO_MASTER_RX,97,SLAVE_TO_MASTER,UAV_0,UAV_2,1024,91317,91317,133842
456.826,SLAVE_TO_MASTER_RX,97,SLAVE_TO_MASTER,UAV_0,UAV_2,627,91944,91944,134469
466.816,SLAVE_TO_MASTER_RX,99,SLAVE_TO_MASTER,UAV_1,UAV_0,870,17895,17895,135339
471.202,SLAVE_TO_MASTER_RX,101,SLAVE_TO_MASTER,UAV_1,UAV_0,1024,18919,18919,136363
471.207,SLAVE_TO_MASTER_RX,101,SLAVE_TO_MASTER,UAV_1,UAV_0,1024,19943,19943,137387
471.212,SLAVE_TO_MASTER_RX,101,SLAVE_TO_MASTER,UAV_1,UAV_0,1024,20967,20967,138411
471.217,SLAVE_TO_MASTER_RX,101,SLAVE_TO_MASTER,UAV_1,UAV_0,1024,21991,21991,139435
471.222,SLAVE_TO_MASTER_RX,101,SLAVE_TO_MASTER,UAV_1,UAV_0,397,22388,22388,139832
