event_id,flow_id,sensor_id,cluster_id,grid_id,batch_id,src,dst,src_role,dst_role,link_type,start_time_sec,end_time_sec,payload_bytes,distance_m,rate_bps,deadline_sec,success_by_deadline
35,S487,487,27,27_2,1,UAV_1,SAT_0,MASTER,SATELLITE,satellite,349.0,349.00787401574803,1200,,152400000.0,1620.0,True
36,S305,305,27,27_2,1,S_305,UAV_3,SENSOR,SLAVE,access,131.48138664974655,132.6261667640383,1565,54.656636726947816,1367074.7600016212,1680.0,True
37,S305,305,27,27_2,1,UAV_3,UAV_1,SLAVE,MASTER,relay,132.6261667640383,132.8232189142361,1565,94.1331585374908,7942060.0,1680.0,True
38,S305,305,27,27_2,1,UAV_1,SAT_0,MASTER,SATELLITE,satellite,349.0,349.0102690288714,1565,,152400000.0,1680.0,True
39,S159,159,27,27_6,2,S_159,UAV_3,SENSOR,MASTER,access,249.0414383377627,249.3933686073537,369,85.61790452577742,1048503.1606654855,2160.0,True
40,S159,159,27,27_6,2,UAV_3,SAT_0,MASTER,SATELLITE,satellite,349.0,349.0024212598425,369,,152400000.0,2160.0,True
41,S211,211,27,27_6,2,S_211,UAV_3,SENSOR,MASTER,access,249.3933686073537,250.28866261963282,1080,68.4829714794418,1206307.6321159427,1620.0,True
42,S211,211,27,27_6,2,UAV_3,SAT_0,MASTER,SATELLITE,satellite,349.0,349.0070866141732,1080,,152400000.0,1620.0,True
43,S339,339,27,27_6,2,S_339,UAV_3,SENSOR,MASTER,access,250.28866261963282,251.29442068942114,1130,76.96933280518896,1123530.6322104207,1920.0,True
44,S339,339,27,27_6,2,UAV_3,SAT_0,MASTER,SATELLITE,satellite,349.0,349.00741469816273,1130,,152400000.0,1920.0,True
45,S482,482,27,27_6,2,S_482,UAV_3,SENSOR,MASTER,access,251.29442068942114,252.59251927428107,1585,67.0799754627994,1221016.6612045346,1860.0,True
46,S482,482,27,27_6,2,UAV_3,SAT_0,MASTER,SATELLITE,satellite,349.0,349.0104002624672,1585,,152400000.0,1860.0,True
47,S43,43,27,27_6,2,S_43,UAV_3,SENSOR,MASTER,access,252.59251927428107,254.04220493763688,1520,85.61790452577753,1048503.1606654846,1980.0,True
48,S43,43,27,27_6,2,UAV_3,SAT_0,MASTER,SATELLITE,satellite,349.0,349.00997375328086,1520,,152400000.0,1980.0,True
49,S494,494,27,27_4,3,S_494,UAV_0,SENSOR,MASTER,access,129.9922098492279,131.00953888618133,1295,62.360557313059125,1272941.155673769,1920.0,True
50,S494,494,27,27_4,3,UAV_0,SAT_0,MASTER,SATELLITE,satellite,349.0,349.0084973753281,1295,,152400000.0,1920.0,True
51,S193,193,27,27_4,3,S_193,UAV_0,SENSOR,MASTER,access,131.00953888618133,132.17218961915506,1480,62.359501117624525,1272953.2249247094,1860.0,True
52,S193,193,27,27_4,3,UAV_0,SAT_0,MASTER,SATELLITE,satellite,349.0,349.0097112860892,1480,,152400000.0,1860.0,True
53,S255,255,27,27_4,3,S_255,UAV_0,SENSOR,MASTER,access,132.17218961915506,133.3399451184768,1495,61.725719408201805,1280233.7483046097,1560.0,True
54,S255,255,27,27_4,3,UAV_0,SAT_0,MASTER,SATELLITE,satellite,349.0,349.0098097112861,1495,,152400000.0,1560.0,True
55,S142,142,27,27_7,3,S_142,UAV_1,SENSOR,SLAVE,access,143.121947583275,144.47626610544995,1395,87.90089201228076,1030038.3382187649,1680.0,True
56,S142,142,27,27_7,3,UAV_1,UAV_0,SLAVE,MASTER,relay,144.47626610544995,144.6519132297477,1395,78.9228848459619,7942060.0,1680.0,True
57,S142,142,27,27_7,3,UAV_0,SAT_0,MASTER,SATELLITE,satellite,349.0,349.0091535433071,1395,,152400000.0,1680.0,True
58,S324,324,27,27_7,3,S_324,UAV_1,SENSOR,SLAVE,access,144.6519132297477,146.01223697819123,1475,81.36980393791531,1084300.7053928638,2040.0,True
59,S324,324,27,27_7,3,UAV_1,UAV_0,SLAVE,MASTER,relay,146.01223697819123,146.1979570558537,1475,78.9228848459619,7942060.0,2040.0,True
60,S324,324,27,27_7,3,UAV_0,SAT_0,MASTER,SATELLITE,satellite,349.0,349.0096784776903,1475,,152400000.0,2040.0,True
61,S399,399,27,27_7,3,S_399,UAV_1,SENSOR,SLAVE,access,146.19795705585372,147.84352687312008,1695,87.90089201228075,1030038.3382187649,1980.0,True
62,S399,399,27,27_7,3,UAV_1,UAV_0,SLAVE,MASTER,relay,147.84352687312008,148.0569475725356,1695,78.9228848459619,7942060.0,1980.0,True
63,S399,399,27,27_7,3,UAV_0,SAT_0,MASTER,SATELLITE,satellite,349.0,349.0111220472441,1695,,152400000.0,1980.0,True
64,S429,429,27,27_8,4,S_429,UAV_2,SENSOR,MASTER,access,206.2207814868999,206.99377327288073,1106,50.0,1430804.3371982595,3060.0,True
65,S429,429,27,27_8,4,UAV_2,SAT_0,MASTER,SATELLITE,satellite,349.0,349.0072572178478,1106,,152400000.0,3060.0,True
66,S226,226,36,36_6,5,S_226,UAV_0,SENSOR,SLAVE,access,265.86271451699963,266.7139839521937,1218,50.0,1430804.3371982595,3360.0,True
67,S226,226,36,36_6,5,UAV_0,UAV_1,SLAVE,MASTER,relay,266.7139839521937,266.86734466717195,1218,167.8115997942862,7942060.0,3360.0,True
68,S226,226,36,36_6,5,UAV_1,SAT_0,MASTER,SATELLITE,satellite,349.0,349.00799212598423,1218,,152400000.0,3360.0,True
